Lp.,iteracja,Nazwa algorytmu,Liczba epok,Wspolczynnik uczenia,Liczba warstw ukrytych,Czas uczenia [ms],Poprawnie sklasyfikowane,Niepoprawnie sklasyfikowane,Poprawnie sklasyfikowane [%]
770,2,ConjugateGradient,20000,0.2,1,8913.48,183,22,89.27
771,2,ConjugateGradient,20000,0.4,1,8981.03,179,26,87.32
772,2,ConjugateGradient,20000,0.6,1,8865.07,175,30,85.37
773,2,ConjugateGradient,20000,0.9,1,8556.86,127,78,61.95
774,2,ConjugateGradient,20000,0.01,3,13263.7,176,29,85.85
775,2,ConjugateGradient,20000,0.2,3,13670.13,78,127,38.05
776,2,ConjugateGradient,20000,0.4,3,13675.65,78,127,38.05
777,2,ConjugateGradient,20000,0.6,3,19517.36,121,84,59.02
778,2,ConjugateGradient,20000,0.9,3,17750.05,169,36,82.44
779,2,ConjugateGradient,20000,0.01,5,21830.21,127,78,61.95
780,2,ConjugateGradient,20000,0.2,5,19020.35,127,78,61.95
781,2,ConjugateGradient,20000,0.4,5,14885.57,127,78,61.95
782,2,ConjugateGradient,20000,0.6,5,14697.88,127,78,61.95
783,2,ConjugateGradient,20000,0.9,5,16778.81,127,78,61.95
784,2,ConjugateGradient,50000,0.01,1,22328.48,177,28,86.34
785,2,ConjugateGradient,50000,0.2,1,22403.06,180,25,87.8
786,2,ConjugateGradient,50000,0.4,1,21826.64,185,20,90.24
787,2,ConjugateGradient,50000,0.6,1,22253.27,186,19,90.73
788,2,ConjugateGradient,50000,0.9,1,21927.34,185,20,90.24
789,2,ConjugateGradient,50000,0.01,3,32871.71,180,25,87.8
790,2,ConjugateGradient,50000,0.2,3,33561.71,78,127,38.05
791,2,ConjugateGradient,50000,0.4,3,45024.43,127,78,61.95
792,2,ConjugateGradient,50000,0.6,3,27216.08,127,78,61.95
793,2,ConjugateGradient,50000,0.9,3,43293.84,171,34,83.41
794,2,ConjugateGradient,50000,0.01,5,53392.14,127,78,61.95
795,2,ConjugateGradient,50000,0.2,5,71660.37,142,63,69.27
796,2,ConjugateGradient,50000,0.4,5,51447.64,160,45,78.05
797,2,ConjugateGradient,50000,0.6,5,34629.51,127,78,61.95
798,2,ConjugateGradient,50000,0.9,5,34381.71,127,78,61.95
1018,3,ConjugateGradient,10,0.01,1,439.82,127,78,61.95
1019,3,ConjugateGradient,10,0.2,1,435.77,127,78,61.95
1020,3,ConjugateGradient,10,0.4,1,438.83,127,78,61.95
1021,3,ConjugateGradient,10,0.6,1,421.42,127,78,61.95
1022,3,ConjugateGradient,10,0.9,1,413.19,127,78,61.95
1023,3,ConjugateGradient,10,0.01,3,642.02,78,127,38.05
1024,3,ConjugateGradient,10,0.2,3,726.88,127,78,61.95
1025,3,ConjugateGradient,10,0.4,3,728.66,127,78,61.95
1026,3,ConjugateGradient,10,0.6,3,826.3,127,78,61.95
1027,3,ConjugateGradient,10,0.9,3,1977.86,127,78,61.95
1028,3,ConjugateGradient,10,0.01,5,1768.52,78,127,38.05
1029,3,ConjugateGradient,10,0.2,5,1756.76,127,78,61.95
1030,3,ConjugateGradient,10,0.4,5,1452.5,127,78,61.95
1031,3,ConjugateGradient,10,0.6,5,1365.44,127,78,61.95
1032,3,ConjugateGradient,10,0.9,5,1287.59,127,78,61.95
1033,3,ConjugateGradient,20,0.01,1,593.91,127,78,61.95
1034,3,ConjugateGradient,20,0.2,1,594.99,127,78,61.95
1035,3,ConjugateGradient,20,0.4,1,627.44,127,78,61.95
1036,3,ConjugateGradient,20,0.6,1,601.84,127,78,61.95
1037,3,ConjugateGradient,20,0.9,1,2429.45,127,78,61.95
1038,3,ConjugateGradient,20,0.01,3,1735.68,78,127,38.05
1039,3,ConjugateGradient,20,0.2,3,930.78,127,78,61.95
1040,3,ConjugateGradient,20,0.4,3,869.16,127,78,61.95
1041,3,ConjugateGradient,20,0.6,3,791.64,127,78,61.95
1042,3,ConjugateGradient,20,0.9,3,771.4,127,78,61.95
